"""ClassificationCode""","""ClassificationCode"" Descriptions"
AT45,R&D-TRANS-PASS SAFETY-OPSY DEV
AT46,R&D-TRANS-PASS SAFETY-MGMT SUP
AT46,R&D- OTHER TRANSPORTATION: PASSENGER SAFETY AND SECURITY (MANAGEMENT/SUPPORT)
AT47,R&D-TRANS-PASS SAFETY-COMERCLIZ
AT47,R&D- OTHER TRANSPORTATION: PASSENGER SAFETY AND SECURITY (COMMERCIALIZED)
AT50,R&D-TRANS-PIPELINE SAFETY
AT51,PIPELINE SAFETY (BASIC)
AT51,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (BASIC RESEARCH)
AT52,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AT52,R&D-TRANS-PIPELINE SAFETY-A RES/EXP
AT53,PIPELINE SAFETY (ADVANCED)
AT53,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (ADVANCED DEVELOPMENT)
AT54,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (ENGINEERING DEVELOPMENT)
AT54,PIPELINE SAFETY (ENGINEERING)
AT55,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (OPERATIONAL SYSTEMS DEVELOPMENT)
AT55,PIPELINE SAFETY (OPERATIONAL)
AT56,R&D-TRANS-PIPELINE SAFETY-MGMT SUP
AT56,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (MANAGEMENT/SUPPORT)
AT57,R&D- OTHER TRANSPORTATION: PIPELINE SAFETY (COMMERCIALIZED)
AT57,R&D-TRANS-PIPELINE SAFETY-COMERCLIZ
AT60,R&D-TRANS-TRAFFIC MGT
AT61,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (BASIC RESEARCH)
AT61,TRAFFIC MANAGEMENT (BASIC)
AT62,R&D-TRANS-TRAFFIC MGT-A RES/EXPL DE
AT62,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AT63,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (ADVANCED DEVELOPMENT)
AT63,TRAFFIC MANAGEMENT (ADVANCED)
AT64,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (ENGINEERING DEVELOPMENT)
AT64,TRAFFIC MANAGEMENT (ENGINEERING)
AT65,TRAFFIC MANAGEMENT (OPERATIONAL)
AT65,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AT66,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (MANAGEMENT/SUPPORT)
AT66,R&D-TRANS-TRAFFIC MGT-MGMT SUP
AT67,R&D-TRANS-TRAFFIC MGT-COMERCLIZ
AT67,R&D- OTHER TRANSPORTATION: TRAFFIC MANAGEMENT (COMMERCIALIZED)
AT70,R&D-TRANS-TUNNELS
AT71,R&D-TRANS-TUNNELS-B RES
AT71,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (BASIC RESEARCH)
AT72,R&D-TRANS-TUNNELS-A RES/EXPL DEV
AT72,R&D- OTHER TRANSPORTATION: TUNNELS/OTHER SUBSURF STRUC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AT73,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (ADVANCED DEVELOPMENT)
AT73,R&D-TRANS-TUNNELS-ADV DEV
AT74,R&D-TRANS-TUNNELS-ENG DEV
AT74,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (ENGINEERING DEVELOPMENT)
AT75,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (OPERATIONAL SYSTEMS DEVELOPMENT)
AT75,R&D-TRANS-TUNNELS-OPSY DEV
AT76,R&D-TRANS-TUNNELS-MGMT SUP
AT76,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (MANAGEMENT/SUPPORT)
AT77,R&D- OTHER TRANSPORTATION: TUNNELS AND OTHER SUBSURFACE STRUCTURES (COMMERCIALIZED)
AT77,R&D-TRANS-TUNNELS-COMERCLIZ
AT81,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (BASIC RESEARCH)
AT81,R&D-TRANS OF HAZARD MAT-B RES
AT82,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZ MAT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AT82,R&D-TRANS OF HAZARD MAT-A RES/EXPL
AT83,R&D-TRANS OF HAZARD MAT-ADV DEV
AT83,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (ADVANCED DEVELOPMENT)
AT84,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (ENGINEERING DEVELOPMENT)
AT84,R&D-TRANS OF HAZARD MAT-ENG DEV
AT85,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (OPERATIONAL SYSTEMS DEVELOPMENT)
AT85,R&D-TRANS OF HAZARD MAT-OPSY DEV
AT86,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATERIALS (MANAGEMENT/SUPPORT)
AT86,R&D-TRANS OF HAZARD MAT-MGMT SUP
AT87,R&D- OTHER TRANSPORTATION: TRANSPORTING HAZARDOUS MATS (COMMERCIALIZED)
AT87,RDTE/Trans - Hazardous Mats - Operational Sy Dev
AT90,R&D-OTHER GENERAL TRANS
AT91,R&D-OTHER GENERAL TRANS-B RES
AT91,R&D- OTHER TRANSPORTATION: OTHER GENERAL (BASIC RESEARCH)
AT92,R&D-OTHER GENERAL TRANS-A RES/EXPL
AT92,R&D- OTHER TRANSPORTATION: OTHER GENERAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AT93,R&D- OTHER TRANSPORTATION: OTHER GENERAL (ADVANCED DEVELOPMENT)
AT93,R&D-OTHER GENERAL TRANS-ADV DEV
AT94,R&D-OTHER GENERAL TRANS-ENG DEV
AT94,R&D- OTHER TRANSPORTATION: OTHER GENERAL (ENGINEERING DEVELOPMENT)
AT95,R&D- OTHER TRANSPORTATION: OTHER GENERAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AT95,R&D-OTHER GENERAL TRANS-OPSY DEV
AT96,R&D- OTHER TRANSPORTATION: OTHER GENERAL (MANAGEMENT/SUPPORT)
AT96,R&D-OTHER GENERAL TRANS-MGMT SUP
AT97,R&D- OTHER TRANSPORTATION: OTHER GENERAL (COMMERCIALIZED)
AT97,R&D-OTHER GENERAL TRANS-COMERCLIZ
AU,TRANSPORTATION (OBSOLETE GROUP)
AU10,R&D-TRANS OF HAZARD MAT
AU11,R&D-TRANS OF HAZARD MAT-RESEARCH
AU12,R&D-TRANS OF HAZARD MAT-EXPL DEV
AU13,R&D-TRANS OF HAZARD MAT-ADV DEV
AU14,R&D-TRANS OF HAZARD MAT-ENG DEV
AU15,R&D-TRANS OF HAZARD MAT-OPSY DEV
AU16,R&D-TRANS OF HAZARD MAT-MGMT SUP
AU17,R&D-TRANS OF HAZARD MAT-COMERCLIZ
AU90,R&D-OTHER COMMODITY TRANS
AU91,R&D-OTHER COMMODITY TRANS-RESEARCH
AU92,R&D-OTHER COMMODITY TRANS-EXPL DEV
AU93,R&D-OTHER COMMODITY TRANS-ADV DEV
AU94,R&D-OTHER COMMODITY TRANS-ENG DEV
AU95,R&D-OTHER COMMODITY TRANS-OPSY DEV
AU96,R&D-OTHER COMMODITY TRANS-MGMT SUP
AU97,R&D-OTHER COMMODITY TRANS-COMERCLIZ
AV,MINING R&D
AV10,R&D-SUBSURFACE MINING EQ
AV11,SUBSURFACE MINING EQUIPMENT (BASIC)
AV11,R&D- MINING: SUBSURFACE MINING EQUIPMENT (BASIC RESEARCH)
AV12,R&D-SUBSURFACE MINING EQ-A RES/EXPL
AV12,R&D- MINING: SUBSURFACE MINING EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV13,R&D-SUBSURFACE MINING EQ-ADV DEV
AV13,R&D- MINING: SUBSURFACE MINING EQUIPMENT (ADVANCED DEVELOPMENT)
AV14,R&D-SUBSURFACE MINING EQ-ENG DEV
AV14,R&D- MINING: SUBSURFACE MINING EQUIPMENT (ENGINEERING DEVELOPMENT)
AV15,R&D- MINING: SUBSURFACE MINING EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AV15,R&D-SUBSURFACE MINING EQ-OPSY DEV
AV16,R&D- MINING: SUBSURFACE MINING EQUIPMENT (MANAGEMENT/SUPPORT)
AV16,R&D-SUBSURFACE MINING EQ-MGMT SUP
AV17,R&D-SUBSURFACE MINING EQ-COMERCLIZ
AV17,R&D- MINING: SUBSURFACE MINING EQUIPMENT (COMMERCIALIZED)
AV20,R&D-SURFACE MINING EQ
AV21,SURFACE MINING EQUIPMENT (BASIC)
AV21,R&D- MINING: SURFACE MINING EQUIPMENT (BASIC RESEARCH)
AV22,R&D-SURFACE MINING EQ-A RES/EXPL DE
AV22,R&D- MINING: SURFACE MINING EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV23,SURFACE MINING EQUIPMENT (ADVANCED)
AV23,R&D- MINING: SURFACE MINING EQUIPMENT (ADVANCED DEVELOPMENT)
AV24,R&D-SURFACE MINING EQ-ENG DEV
AV24,R&D- MINING: SURFACE MINING EQUIPMENT (ENGINEERING DEVELOPMENT)
AV25,R&D- MINING: SURFACE MINING EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AV25,R&D-SURFACE MINING EQ-OPSY DEV
AV26,R&D- MINING: SURFACE MINING EQUIPMENT (MANAGEMENT/SUPPORT)
AV26,R&D-SURFACE MINING EQ-MGMT SUP
AV27,R&D- MINING: SURFACE MINING EQUIPMENT (COMMERCIALIZED)
AV27,R&D-SURFACE MINING EQ-COMERCLIZ
AV30,R&D-SUBSURF MINING METHS
AV31,R&D- MINING: SUBSURFACE MINING METHODS (BASIC RESEARCH)
AV31,SUBSURFACE MINING METHODS (BASIC)
AV32,R&D-SUBSURF MINING METHS-A RES/EXPL
AV32,R&D- MINING: SUBSURFACE MINING METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV33,R&D-SUBSURF MINING METHS-ADV DEV
AV33,R&D- MINING: SUBSURFACE MINING METHODS (ADVANCED DEVELOPMENT)
AV34,R&D- MINING: SUBSURFACE MINING METHODS (ENGINEERING DEVELOPMENT)
AV34,R&D-SUBSURF MINING METHS-ENG DEV
AV35,R&D- MINING: SUBSURFACE MINING METHODS (OPERATIONAL SYSTEMS DEVELOPMENT)
AV35,R&D-SUBSURF MINING METHS-OPSY DEV
AV36,R&D- MINING: SUBSURFACE MINING METHODS (MANAGEMENT/SUPPORT)
AV36,R&D-SUBSURF MINING METHS-MGMT SUP
AV37,R&D-SUBSURF MINING METHS-COMERCLIZ
AV37,R&D- MINING: SUBSURFACE MINING METHODS (COMMERCIALIZED)
AV40,R&D-SURFACE MINING METHS
AV41,SURFACE MINING METHODS (BASIC)
AV41,R&D- MINING: SURFACE MINING METHODS (BASIC RESEARCH)
AV42,R&D-SURFACE MINING METHS-A RES/EXPL
AV42,R&D- MINING: SURFACE MINING METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV43,SURFACE MINING METHODS (ADVANCED)
AV43,R&D- MINING: SURFACE MINING METHODS (ADVANCED DEVELOPMENT)
AV44,R&D-SURFACE MINING METHS-ENG DEV
AV44,R&D- MINING: SURFACE MINING METHODS (ENGINEERING DEVELOPMENT)
AV45,R&D- MINING: SURFACE MINING METHODS (OPERATIONAL SYSTEMS DEVELOPMENT)
AV45,R&D-SURFACE MINING METHS-OPSY DEV
AV46,R&D-SURFACE MINING METHS-MGMT SUP
AV46,R&D- MINING: SURFACE MINING METHODS (MANAGEMENT/SUPPORT)
AV47,R&D- MINING: SURFACE MINING METHODS (COMMERCIALIZED)
AV47,R&D-SURFACE MINING METHS-COMERCLIZ
AV50,R&D-MINING RECLAM METHS
AV51,R&D- MINING: MINING RECLAMATION METHODS (BASIC RESEARCH)
AV51,MINING RECLAMATION METHODS (BASIC)
AV52,R&D-MINING RECLAM METHS-A RES/EXPL
AV52,R&D- MINING: MINING RECLAMATION METHODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV53,R&D-MINING RECLAM METHS-ADV DEV
AV53,R&D- MINING: MINING RECLAMATION METHODS (ADVANCED DEVELOPMENT)
AV54,R&D-MINING RECLAM METHS-ENG DEV
AV54,R&D- MINING: MINING RECLAMATION METHODS (ENGINEERING DEVELOPMENT)
AV55,R&D-MINING RECLAM METHS-OPSY DEV
AV55,R&D- MINING: MINING RECLAMATION METHODS (OPERATIONAL SYSTEMS DEVELOPMENT)
AV56,R&D- MINING: MINING RECLAMATION METHODS (MANAGEMENT/SUPPORT)
AV56,R&D-MINING RECLAM METHS-MGMT SUP
AV57,R&D-MINING RECLAM METHS-COMERCLIZ
AV57,R&D- MINING: MINING RECLAMATION METHODS (COMMERCIALIZED)
AV60,R&D-MINING SAFETY
AV61,R&D- MINING: MINING SAFETY (BASIC RESEARCH)
AV61,MINING SAFETY (BASIC)
AV62,MINING SAFETY (APPLIED/EXPLORATORY)
AV62,R&D- MINING: MINING SAFETY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV63,R&D- MINING: MINING SAFETY (ADVANCED DEVELOPMENT)
AV63,MINING SAFETY (ADVANCED)
AV64,R&D- MINING: MINING SAFETY (ENGINEERING DEVELOPMENT)
AV64,MINING SAFETY (ENGINEERING)
AV65,MINING SAFETY (OPERATIONAL)
AV65,R&D- MINING: MINING SAFETY (OPERATIONAL SYSTEMS DEVELOPMENT)
AV66,MINING SAFETY (MANAGEMENT/SUPPORT)
AV66,R&D- MINING: MINING SAFETY (MANAGEMENT/SUPPORT)
AV67,R&D- MINING: MINING SAFETY (COMMERCIALIZED)
AV67,R&D-MINING SAFETY-COMERCLIZ
AV70,R&D-MINING-METALLURGICAL
AV71,R&D- MINING: METALLURGICAL (BASIC RESEARCH)
AV71,METALLURGICAL (BASIC)
AV72,METALLURGICAL (APPLIED/EXPLORATORY)
AV72,R&D- MINING: METALLURGICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV73,R&D- MINING: METALLURGICAL (ADVANCED DEVELOPMENT)
AV73,METALLURGICAL (ADVANCED)
AV74,METALLURGICAL (ENGINEERING)
AV74,R&D- MINING: METALLURGICAL (ENGINEERING DEVELOPMENT)
AV75,R&D- MINING: METALLURGICAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AV75,METALLURGICAL (OPERATIONAL)
AV76,METALLURGICAL (MANAGEMENT/SUPPORT)
AV76,R&D- MINING: METALLURGICAL (MANAGEMENT/SUPPORT)
AV77,R&D-MINING-METALLURGICAL-COMERCLIZ
AV77,R&D- MINING: METALLURGICAL (COMMERCIALIZED)
AV90,R&D-OTHER MINING ACTIV
AV91,R&D- MINING: OTHER MINING ACTIVITIES (BASIC RESEARCH)
AV91,OTHER MINING ACTIVITIES (BASIC)
AV92,R&D-OTHER MINING ACTIV-A RES/EXPL D
AV92,R&D- MINING: OTHER MINING ACTIVITIES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AV93,OTHER MINING ACTIVITIES (ADVANCED)
AV93,R&D- MINING: OTHER MINING ACTIVITIES (ADVANCED DEVELOPMENT)
AV94,R&D-OTHER MINING ACTIV-ENG DEV
AV94,R&D- MINING: OTHER MINING ACTIVITIES (ENGINEERING DEVELOPMENT)
AV95,R&D- MINING: OTHER MINING ACTIVITIES (OPERATIONAL SYSTEMS DEVELOPMENT)
AV95,R&D-OTHER MINING ACTIV-OPSY DEV
AV96,R&D-OTHER MINING ACTIV-MGMT SUP
AV96,R&D- MINING: OTHER MINING ACTIVITIES (MANAGEMENT/SUPPORT)
AV97,R&D- MINING: OTHER MINING ACTIVITIES (COMMERCIALIZED)
AV97,R&D-OTHER MINING ACTIV-COMERCLIZ
AZ,OTHER RESEARCH/DEVELOPMENT
AZ10,R&D-OTHER R & D
AZ11,R&D-OTHER R & D-B RES
AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)
AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AZ12,R&D-OTHER R & D-A RES/EXPL DEV
AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)
AZ13,R&D-OTHER R & D-ADV DEV
AZ14,R&D-OTHER R & D-ENG DEV
AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)
AZ15,R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AZ15,R&D-OTHER R & D-OPSY DEV
AZ16,R&D-OTHER R & D-MGMT SUP
AZ16,R&D- OTHER RESEARCH AND DEVELOPMENT (MANAGEMENT/SUPPORT)
AZ17,R&D-OTHER R & D-COMERCLIZ
AZ17,R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)
B,"SPECIAL STUDIES/ANALYSIS, NOT R&D"
B5,SPECIAL STUDIES - NOT R and D
B502,SPECIAL STUDIES/ANALYSIS- AIR QUALITY
B502,AIR QUALITY Analysis
B503,STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL
B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL
B504,STUDY/CHEMICAL-BIOLOGICAL
B504,SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL
B505,COST BENEFIT ANALYSIS
B505,SPECIAL STUDIES/ANALYSIS- COST BENEFIT
B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)
B506,STUDY/DATA - OTHER THAN SCIENTIFIC
B507,ECONOMIC STUDIES
B507,SPECIAL STUDIES/ANALYSIS- ECONOMIC
B509,SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL
B509,STUDY/ENDANGERED SPECIES-PLANT/ANIM
B510,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS
B510,STUDY/ENVIRONMENTAL ASSESSMENTS
B511,
B512,
B513,SPECIAL STUDIES/ANALYSIS- FEASIBILITY (NON-CONSTRUCTION)
B513,STUDY/FEASIBILITY - NON-CONTRUCT
B516,SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES
B516,ANIMAL AND FISHERIES STUDIES
B517,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL
B517,GEOLOGICAL STUDIES
B518,SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL
B518,GEOPHYSICAL STUDIES
B519,GEOTECHNICAL STUDIES
B519,SPECIAL STUDIES/ANALYSIS- GEOTECHNICAL
B520,GRAZING/RANGE STUDIES
B520,SPECIAL STUDIES/ANALYSIS- GRAZING/RANGE
B521,SPECIAL STUDIES/ANALYSIS- HISTORICAL
B521,HISTORICAL STUDIES
B522,LEGAL STUDIES
B522,SPECIAL STUDIES/ANALYSIS- LEGAL
B524,SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL
B524,MATHEMATICAL/STATISTICAL Analysis
B525,SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE
B525,NATURAL RESOURCE STUDIES
B526,SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL
B526,OCEANOLOGICAL STUDIES
B527,SPECIAL STUDIES/ANALYSIS- RECREATION
B527,RECREATION STUDIES
B528,REGULATORY STUDIES
B528,SPECIAL STUDIES/ANALYSIS- REGULATORY
B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA
B529,SCIENTIFIC DATA STUDIES
B530,SEISMOLOGICAL STUDIES
B530,SPECIAL STUDIES/ANALYSIS- SEISMOLOGICAL
B532,SOIL STUDIES
B532,SPECIAL STUDIES/ANALYSIS- SOIL
B533,WATER QUALITY STUDIES
B533,SPECIAL STUDIES/ANALYSIS- WATER QUALITY
B534,WILDLIFE STUDIES
B534,SPECIAL STUDIES/ANALYSIS- WILDLIFE
B537,MEDICAL AND HEALTH STUDIES
B537,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH
B538,SPECIAL STUDIES/ANALYSIS- INTELLIGENCE
B538,INTELLIGENCE STUDIES
B539,AERONAUTIC/SPACE STUDIES
B539,SPECIAL STUDIES/ANALYSIS- AERONAUTICAL/SPACE
B540,SPECIAL STUDIES/ANALYSIS- BUILDING TECHNOLOGY
B540,BUILDING TECHNOLOGY STUDIES
B541,SPECIAL STUDIES/ANALYSIS- DEFENSE
B541,DEFENSE STUDIES
B542,SPECIAL STUDIES/ANALYSIS- EDUCATIONAL
B542,EDUCATIONAL STUDIES AND Analysis
B543,SPECIAL STUDIES/ANALYSIS- ENERGY
B543,ENERGY STUDIES
B544,TECHNOLOGY STUDIES
B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY
B545,STUDY/HOUSING AND COMMUNITY DEVELOP
B545,SPECIAL STUDIES/ANALYSIS- HOUSING/COMMUNITY DEVELOPMENT
B546,SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)
B546,STUDY/SECURITY (PHYSICAL & PERSONAL
B547,SPECIAL STUDIES/ANALYSIS- ACCOUNTING/FINANCIAL MANAGEMENT
B547,STUDY/ACCOUNTING/FINANCIAL MGT
B548,TRADE ISSUE STUDIES
B548,SPECIAL STUDIES/ANALYSIS- TRADE ISSUE
B549,STUDY/FOREIGN & NAT'L SECURITY POL
B549,SPECIAL STUDIES/ANALYSIS- FOREIGN/NATIONAL SECURITY POLICY
B550,SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL
B550,STUDY/ORGANIZATION/ADMIN/PERSONNEL
B551,SPECIAL STUDIES/ANALYSIS- MOBILIZATION/PREPAREDNESS
B551,MOBILIZATION/PREPAREDNESS STUDIES
B552,MANPOWER STUDIES
B552,SPECIAL STUDIES/ANALYSIS- MANPOWER
B553,SPECIAL STUDIES/ANALYSIS- COMMUNICATIONS
B553,COMMUNICATIONS STUDIES
B554,STUDY/ACQUISITION POLICY/PROCEDURES
B554,SPECIAL STUDIES/ANALYSIS- ACQUISITION POLICY/PROCEDURES
B555,ELDERLY/HANDICAPPED STUDIES
B555,SPECIAL STUDIES/ANALYSIS- ELDERLY/HANDICAPPED
B599,OTHER SPECIAL STUDIES AND Analysis
B599,SPECIAL STUDIES/ANALYSIS- OTHER
C,ARCHITECT/ENGINEER SERVICES
C1,ARCH-ENG SVCS - CONSTRUCTION
C111,BLDGS & FAC / ADMIN & SVC BLDGS
C112,"BLDGS & FAC / AIRFIELD, COM & MSL F"
C113,EDUCATIONAL BUILDINGS
C114,HOSPITAL BUILDINGS
C115,INDUSTRIAL BUILDINGS
C116,RESIDENTIAL BUILDINGS
C117,WAREHOUSE BUILDINGS
C118,RESEARCH AND DEVELOPMENT FACILITIES
C119,OTHER BUILDINGS
C121,CONSERVATION AND DEVELOPMENT
C122,"HIGHWAY, ROADS, STREETS, BRIDGES, A"
C123,ELECTRIC POWER GENERATION (EPG)
C124,UTILITIES
C129,OTHER NON-BUILDING STRUCTURES
C130,RESTORATION
C1AA,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS
C1AB,ARCHITECT AND ENGINEERING- CONSTRUCTION: CONFERENCE SPACE AND FACILITIES
C1AZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS
C1BA,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIR TRAFFIC CONTROL TOWERS
C1BB,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIR TRAFFIC CONTROL TRAINING FACILITIES
C1BC,ARCHITECT AND ENGINEERING- CONSTRUCTION: RADAR AND NAVIGATIONAL FACILITIES
C1BD,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT RUNWAYS AND TAXIWAYS
C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS
C1BF,ARCHITECT AND ENGINEERING- CONSTRUCTION: MISSILE SYSTEM FACILITIES
C1BG,ARCHITECT AND ENGINEERING- CONSTRUCTION: ELECTRONIC AND COMMUNICATIONS FACILITIES
C1BZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER AIRFIELD STRUCTURES
C1CA,ARCHITECT AND ENGINEERING- CONSTRUCTION: SCHOOLS
C1CZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER EDUCATIONAL BUILDINGS
C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES
C1DB,ARCHITECT AND ENGINEERING- CONSTRUCTION: LABORATORIES AND CLINICS
C1DZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER HOSPITAL BUILDINGS
C1EA,ARCHITECT AND ENGINEERING- CONSTRUCTION: AMMUNITION FACILITIES
C1EB,ARCHITECT AND ENGINEERING- CONSTRUCTION: MAINTENANCE BUILDINGS
C1EC,ARCHITECT AND ENGINEERING- CONSTRUCTION: PRODUCTION BUILDINGS
C1ED,ARCHITECT AND ENGINEERING- CONSTRUCTION: SHIP CONSTRUCTION AND REPAIR FACILITIES
C1EE,ARCHITECT AND ENGINEERING- CONSTRUCTION: TANK AUTOMOTIVE FACILITIES
C1EZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER INDUSTRIAL BUILDINGS
C1FA,ARCHITECT AND ENGINEERING- CONSTRUCTION: FAMILY HOUSING FACILITIES
C1FB,ARCHITECT AND ENGINEERING- CONSTRUCTION: RECREATIONAL BUILDINGS
C1FC,ARCHITECT AND ENGINEERING- CONSTRUCTION: TROOP HOUSING FACILITIES
C1FD,ARCHITECT AND ENGINEERING- CONSTRUCTION: DINING FACILITIES
C1FE,ARCHITECT AND ENGINEERING- CONSTRUCTION: RELIGIOUS FACILITIES
C1FF,ARCHITECT AND ENGINEERING- CONSTRUCTION: PENAL FACILITIES
C1FZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER RESIDENTIAL BUILDINGS
C1GA,ARCHITECT AND ENGINEERING- CONSTRUCTION: AMMUNITION STORAGE BUILDINGS
C1GB,ARCHITECT AND ENGINEERING- CONSTRUCTION: FOOD OR GRAIN STORAGE BUILDINGS
C1GC,ARCHITECT AND ENGINEERING- CONSTRUCTION: FUEL STORAGE BUILDINGS
C1GD,ARCHITECT AND ENGINEERING- CONSTRUCTION: OPEN STORAGE FACILITIES
C1GZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER WAREHOUSE BUILDINGS
C1HA,ARCHITECT AND ENGINEERING- CONSTRUCTION: GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACS
C1HB,ARCHITECT AND ENGINEERING- CONSTRUCTION: GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACS
C1HC,ARCHITECT AND ENGINEERING- CONSTRUCTION: GOVT-OWNED CTR-OPERATED (GOCO) ENVIRONMENTAL LABORATORIES
C1HZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: GOVT-OWNED GOVT-OPERATED (GOGO) ENVIRONMENTAL LABORATORIES
C1JA,ARCHITECT AND ENGINEERING- CONSTRUCTION: MUSEUMS AND EXHIBITION BUILDINGS
C1JB,ARCHITECT AND ENGINEERING- CONSTRUCTION: TESTING AND MEASUREMENT BUILDINGS
